id,name,postcode,latitude,longitude,phone_number,active,email,only_impressions,dentist_user_id,hubspot_id,signed_sla,eon_dentist_id,created_at,updated_at,gdc_number,aligner_provider,can_provide_elastics,key_account_manager_id,notes,receiving_cases,weekly_availability_hours
207,Bradstowe Dental Practice,GU21 4AL,51.3241368,-0.5603996,01483 761784,1,bradstowedental@aol.com,0,480.0,218888972478.0,,,2025-03-06 10:56:40.373977,2025-03-06 11:53:56.126828,281972,EON,0,274.0,,1,19.1
143,Blake Dental,CM8 2AB,51.7973281,0.6428023,01376 501688,1,leanne@blakedental.co.uk,0,242.0,116252123322.0,,,2025-01-23 12:00:34.557251,2025-01-23 12:00:34.657568,,EON,0,460.0,,1,23.2
134,Byfleet Dental Boutique,KT14 7QH,51.340129,-0.4795599,01932 344999,1,info@byfleetdental.co.uk,0,282.0,4171041.0,,,2025-01-23 12:00:34.557251,2025-01-23 12:00:34.657568,277184,EON,0,511.0,,1,24.3
65,Denvolve,SE18 1HF,51.4865084,0.0967193,7872550463,1,info@denvolve.co.uk,0,74.0,9071122638.0,,,2025-01-23 12:00:34.557251,2025-05-09 11:42:25.054963,264255,EON,0,511.0,,0,37.4
56,Twenty Dental,PO12    2JR,50.7925528,-1.1499883,023 9258 9055,1,twentydental@gmail.com,0,81.0,18757852.0,,,2025-01-23 12:00:34.557251,2025-01-23 12:00:34.657568,176831,EON,0,460.0,,1,16.8
20,Acer Dental - Leigh,WN7 5SJ,53.4990811,-2.526351,01612070002,1,reception@acerdentalclinic.com,0,109.0,19032702.0,,,2025-01-23 12:00:34.557251,2025-01-23 12:00:34.657568,259057,EON,0,511.0,,1,38.3
187,Hillary Street Dental Surgery,WS2 9BP,52.5730789,-1.9970122,01922 623800,1,r_beedh@hotmail.co.uk,0,427.0,191385308401.0,,,2025-02-10 10:25:38.042152,2025-05-08 12:33:35.127909,244819,EON,0,511.0,,1,16.4
90,Ponsford 59 Dental Practice,TA24      5DY,51.2016845,-3.4706792,+44 1643 702681,1,ponsford59dp@gmail.com,0,55.0,33674832324.0,,,2025-01-23 12:00:34.557251,2025-04-30 08:52:12.542341,248883,EON,0,603.0,,1,13.5
43,The Dental Parlour,CV3    2SB,52.3976134,-1.4337873,7980111183,1,info@thedentalparlour.co.uk,0,158.0,18757802.0,,,2025-01-23 12:00:34.557251,2025-01-23 12:00:34.657568,228717,EON,0,460.0,,1,28.2
270,Smile Cliniq St Johns Wood,NW8 0RH,51.537648,-0.1851871,020 3627 8732,1,sjw@smilecliniq.com,0,597.0,274813708474.0,,,2025-04-28 11:29:31.102845,2025-04-28 11:29:31.102877,81142,EON,0,274.0,,1,29.6
159,W Dental Tooting,SW17 7TS,51.4354334,-0.1601454,02031434714,1,tooting@w-dental.co.uk,0,321.0,156504837344.0,,,2025-01-23 12:00:34.557251,2025-01-23 12:00:34.657568,,EON,0,173.0,,1,32.5
76,Elite Smiles Dental and Beauty,WD25 9LQ,51.6893415,-0.3854906,7957376927,1,hayley@elitesmiles.co.uk,0,65.0,10719055576.0,,,2025-01-23 12:00:34.557251,2025-03-14 11:13:21.937378,241772,EON,0,173.0,,1,36.5
263,The Oxford Smile Clinic,OX1 4DH,51.7520615,-1.2565225,01865249492,1,oxford@theoxfordsmileclinics.co.uk,0,555.0,266024628416.0,,,2025-04-22 09:22:34.522458,2025-05-08 12:46:57.853979,85639,KLINE,0,603.0,,1,34.4
51,Perlau Gwyn Dental Care,CF11 9LP,51.4874891,-3.1977849,7576976501,1,info@perlaugwyndentalcare.co.uk,0,85.0,472719.0,,,2025-01-23 12:00:34.557251,2025-05-13 11:29:28.068717,153665,EON,0,511.0,,0,11.9
89,Dentistry and More,CB2 9GX,52.1737489,0.123255,+441223662132,1,rob@dentistryandmore.co.uk,0,131.0,30662743780.0,,,2025-01-23 12:00:34.557251,2025-05-09 13:42:57.288683,293180,EON,0,603.0,,1,46.9
103,The Ackerman Clinic,BH25    6BA,50.7539243,-1.6512005,01425628987,1,info@theackermanclinic.co.uk,0,183.0,43468755904.0,,,2025-01-23 12:00:34.557251,2025-03-31 08:55:19.216277,247416,EON,0,460.0,,1,31.7
260,Smile Dental Care Falmouth,TR11 2DA,50.1538948,-5.0769928,01326313310,1,falmouthmanager@Smiledentalcare.co.uk,0,552.0,472913.0,,,2025-04-17 16:26:36.461163,2025-05-12 15:35:14.369664,117042,KLINE,0,603.0,,0,22.0
36,MM Dental - Leicester,LE3 0BH,52.6259364,-1.1501846,7913842245,1,info@mmdentalcare.co.uk,0,97.0,473078.0,,,2025-01-23 12:00:34.557251,2025-02-25 14:57:52.807563,244758,EON,0,460.0,,1,21.6
30,Bucknall Dental Practice,ST2     0BJ,53.01705,-2.13883,+44 178 221 338,1,info@bucknalldentalpractice.co.uk,0,102.0,9284749266.0,,,2025-01-23 12:00:34.557251,2025-01-23 12:00:34.657568,312901,EON,0,460.0,,1,22.2
258,Inverurie Dental Care,AB51 4QR,57.2889455,-2.3859088,01467623191,1,Info@inveruriedentalcare.co.uk,0,550.0,472605.0,,,2025-04-17 08:41:12.265973,2025-04-17 08:41:12.266007,76203,KLINE,0,274.0,,1,20.1
