id,name,postcode,latitude,longitude,phone_number,active,email,only_impressions,dentist_user_id,hubspot_id,signed_sla,eon_dentist_id,created_at,updated_at,gdc_number,aligner_provider,can_provide_elastics,key_account_manager_id,notes,receiving_cases,weekly_availability_hours
207,Bradstowe Dental Practice,GU21 4AL,51.3241368,-0.5603996,01483 761784,1,bradstowedental@aol.com,0,480.0,218888972478.0,,,2025-03-06 10:56:40.373977,2025-03-06 11:53:56.126828,281972,EON,0,274.0,,1,19.1
143,Blake Dental,CM8 2AB,51.7973281,0.6428023,01376 501688,1,leanne@blakedental.co.uk,0,242.0,116252123322.0,,,2025-01-23 12:00:34.557251,2025-01-23 12:00:34.657568,,EON,0,460.0,,1,23.2
134,Byfleet Dental Boutique,KT14 7QH,51.340129,-0.4795599,01932 344999,1,info@byfleetdental.co.uk,0,282.0,4171041.0,,,2025-01-23 12:00:34.557251,2025-01-23 12:00:34.657568,277184,EON,0,511.0,,1,24.3
65,Denvolve,SE18 1HF,51.4865084,0.0967193,7872550463,1,info@denvolve.co.uk,0,74.0,9071122638.0,,,2025-01-23 12:00:34.557251,2025-05-09 11:42:25.054963,264255,EON,0,511.0,,0,37.4
56,Twenty Dental,PO12    2JR,50.7925528,-1.1499883,023 9258 9055,1,twentydental@gmail.com,0,81.0,18757852.0,,,2025-01-23 12:00:34.557251,2025-01-23 12:00:34.657568,176831,EON,0,460.0,,1,16.8
20,Acer Dental - Leigh,WN7 5SJ,53.4990811,-2.526351,01612070002,1,reception@acerdentalclinic.com,0,109.0,19032702.0,,,2025-01-23 12:00:34.557251,2025-01-23 12:00:34.657568,259057,EON,0,511.0,,1,38.3
187,Hillary Street Dental Surgery,WS2 9BP,52.5730789,-1.9970122,01922 623800,1,r_beedh@hotmail.co.uk,0,427.0,191385308401.0,,,2025-02-10 10:25:38.042152,2025-05-08 12:33:35.127909,244819,EON,0,511.0,,1,16.4
90,Ponsford 59 Dental Practice,TA24      5DY,51.2016845,-3.4706792,+44 1643 702681,1,ponsford59dp@gmail.com,0,55.0,33674832324.0,,,2025-01-23 12:00:34.557251,2025-04-30 08:52:12.542341,248883,EON,0,603.0,,1,13.5
43,The Dental Parlour,CV3    2SB,52.3976134,-1.4337873,7980111183,1,info@thedentalparlour.co.uk,0,158.0,18757802.0,,,2025-01-23 12:00:34.557251,2025-01-23 12:00:34.657568,228717,EON,0,460.0,,1,28.2
270,Smile Cliniq St Johns Wood,NW8 0RH,51.537648,-0.1851871,020 3627 8732,1,sjw@smilecliniq.com,0,597.0,274813708474.0,,,2025-04-28 11:29:31.102845,2025-04-28 11:29:31.102877,81142,EON,0,274.0,,1,29.6
159,W Dental Tooting,SW17 7TS,51.4354334,-0.1601454,02031434714,1,tooting@w-dental.co.uk,0,321.0,156504837344.0,,,2025-01-23 12:00:34.557251,2025-01-23 12:00:34.657568,,EON,0,173.0,,1,32.5
76,Elite Smiles Dental and Beauty,WD25 9LQ,51.6893415,-0.3854906,7957376927,1,hayley@elitesmiles.co.uk,0,65.0,10719055576.0,,,2025-01-23 12:00:34.557251,2025-03-14 11:13:21.937378,241772,EON,0,173.0,,1,36.5
263,The Oxford Smile Clinic,OX1 4DH,51.7520615,-1.2565225,01865249492,1,oxford@theoxfordsmileclinics.co.uk,0,555.0,266024628416.0,,,2025-04-22 09:22:34.522458,2025-05-08 12:46:57.853979,85639,KLINE,0,603.0,,1,34.4
51,Perlau Gwyn Dental Care,CF11 9LP,51.4874891,-3.1977849,7576976501,1,info@perlaugwyndentalcare.co.uk,0,85.0,472719.0,,,2025-01-23 12:00:34.557251,2025-05-13 11:29:28.068717,153665,EON,0,511.0,,0,11.9
89,Dentistry and More,CB2 9GX,52.1737489,0.123255,+441223662132,1,rob@dentistryandmore.co.uk,0,131.0,30662743780.0,,,2025-01-23 12:00:34.557251,2025-05-09 13:42:57.288683,293180,EON,0,603.0,,1,46.9
103,The Ackerman Clinic,BH25    6BA,50.7539243,-1.6512005,01425628987,1,info@theackermanclinic.co.uk,0,183.0,43468755904.0,,,2025-01-23 12:00:34.557251,2025-03-31 08:55:19.216277,247416,EON,0,460.0,,1,31.7
260,Smile Dental Care Falmouth,TR11 2DA,50.1538948,-5.0769928,01326313310,1,falmouthmanager@Smiledentalcare.co.uk,0,552.0,472913.0,,,2025-04-17 16:26:36.461163,2025-05-12 15:35:14.369664,117042,KLINE,0,603.0,,0,22.0
36,MM Dental - Leicester,LE3 0BH,52.6259364,-1.1501846,7913842245,1,info@mmdentalcare.co.uk,0,97.0,473078.0,,,2025-01-23 12:00:34.557251,2025-02-25 14:57:52.807563,244758,EON,0,460.0,,1,21.6
30,Bucknall Dental Practice,ST2     0BJ,53.01705,-2.13883,+44 178 221 338,1,info@bucknalldentalpractice.co.uk,0,102.0,9284749266.0,,,2025-01-23 12:00:34.557251,2025-01-23 12:00:34.657568,312901,EON,0,460.0,,1,22.2
258,Inverurie Dental Care,AB51 4QR,57.2889455,-2.3859088,01467623191,1,Info@inveruriedentalcare.co.uk,0,550.0,472605.0,,,2025-04-17 08:41:12.265973,2025-04-17 08:41:12.266007,76203,KLINE,0,274.0,,1,20.1
54,Mouth Peace Dental Practice,BH20 6DW,50.6764887,-2.2295615,01929 462269,1,pascal8pinto@gmail.com,0,164.0,27589806828.0,,,2025-01-23 12:00:34.557251,2025-05-09 13:36:41.698678,285238,EON,0,603.0,,1,34.3
35,Acer Dental - Tamworth,B78 3HP,52.6266342,-1.7136742,01827908658,1,tamworth@acerdentalclinic.com,0,98.0,473120.0,,,2025-01-23 12:00:34.557251,2025-01-23 12:00:34.657568,,EON,0,460.0,,1,27.3
25,Northway Dental Practice - Liverpool,L31 5LJ,53.4056561,-2.9085915,0151 526 2701,1,northwaydental@hotmail.co.uk,0,105.0,18758252.0,,,2025-01-23 12:00:34.557251,2025-05-08 14:22:43.165673,148778,EON,0,460.0,,0,43.3
256,Confidental,GU47 9BT,51.3458715,-0.8009424,01252877309,1,sandeep@confidentalsmiles.co.uk,0,546.0,3173513.0,,,2025-04-16 13:42:58.842202,2025-04-16 13:42:58.842236,103544,KLINE,0,274.0,,1,48.9
193,Rye Dental Surgery,TN317JE,50.9513441,0.7345827,01797223311,1,ryedentalsurgery@gmail.com,0,444.0,195483652296.0,,,2025-02-13 12:05:43.097041,2025-02-13 12:05:43.097081,,EON,0,460.0,,1,44.9
271,Elegant Smiles Stamford,PE9 2QY,52.6510324,-0.4809545,07387146052,1,Granthamcoordinator@elegantsmiles.co.uk,0,601.0,274822536383.0,,,2025-04-28 11:51:25.609274,2025-04-28 11:51:25.609304,000002,EON,0,274.0,,1,49.4
250,Simply Teeth Essex,IG3 9LD,51.5614191,0.1013334,02085900575,1,info@simplyteethessex.co.uk,0,521.0,238687400152.0,,,2025-03-25 15:53:20.299464,2025-03-25 15:53:20.299786,79727,EON,0,511.0,,1,30.8
264,Willerby Dental Care,HU10 6AH,53.7558549,-0.4405476,01482631858,1,reception@willerbydentalcare.co.uk,0,573.0,266242340058.0,,,2025-04-22 12:46:26.343010,2025-05-08 14:24:01.681509,72814,KLINE,0,460.0,,1,30.1
84,Monument Dental Studio,PE1 4DA,52.5792447,-0.2386789,01733 306326,1,contact@monumentdentalstudio.co.uk,0,60.0,575130.0,,,2025-01-23 12:00:34.557251,2025-04-30 08:54:52.711932,293343,EON,0,603.0,,1,41.0
230,Bletchley Dental Practice,MK3 7LW,52.0047895,-0.7497871,01908373445,1,contact@bletchleydentalpractice.co.uk,0,487.0,17014915260.0,,,2025-03-11 12:05:27.622657,2025-05-07 10:46:28.366659,139189,EON,0,603.0,,1,42.7
104,Hillcross Dental Practice,SM4    4EX,51.3921668,-0.2192551,0208 5423711,1,info@hillcrossdental.co.uk,0,182.0,44291672508.0,,,2025-01-23 12:00:34.557251,2025-05-08 14:27:49.956089,115147,EON,0,460.0,,1,15.6
200,Mill Hill Dental Practice,NW7 3RE,51.6171959,-0.2512859,02089591208,1,maggie.andi@millhilldentist.co.uk,0,464.0,210547974355.0,,,2025-02-26 09:57:33.664374,2025-05-09 13:39:19.598439,82258,EON,0,603.0,,1,31.6
8,Mount Parade Dental,HG1 1BX,53.9952427,-1.5396525,7533642323,1,info@mountparadedental.co.uk,0,146.0,473055.0,,,2025-01-23 12:00:34.557251,2025-04-30 08:58:44.697945,70966,EON,0,603.0,,1,39.3
164,Wyke Dental,BD12 8AD,53.7408955,-1.7689638,01274 690188,1,reception@wykedental.co.uk,0,332.0,159489131706.0,,,2025-01-23 12:00:34.557251,2025-01-23 12:00:34.657568,,EON,0,460.0,,1,27.1
286,Luton Advanced Dental Care,LU1 2DP,51.87878,-0.417137,01582726853,1,info@lutondental.co.uk,0,632.0,289174405340.0,,,2025-05-12 11:26:37.167207,2025-05-12 13:20:13.046419,258791,EON,0,274.0,,1,33.6
267,City Cap Dental,EC2N 2HE,51.5157413,-0.0857481,0207 621 0600,1,manager@capcitydental.co.uk,0,589.0,268956405953.0,,,2025-04-24 13:44:07.315669,2025-04-24 13:44:07.315698,274986,EON,0,511.0,,1,46.3
281,Oradent Dental Care,TN23 7SG,51.1374489,0.8685908,01233 620359,1,pm.ashford@oradent.org,0,620.0,286188397817.0,,,2025-05-08 22:12:40.892559,2025-05-08 22:15:45.782715,258748,EON,0,603.0,,1,13.6
149,Sankey Street Dental Practice,WA1 1SL,53.3886207,-2.5983175,01925 631451,1,sankeystdental@btconnect.com,0,262.0,4166057.0,,,2025-01-23 12:00:34.557251,2025-05-09 13:40:51.552178,101383,EON,0,603.0,,0,23.0
46,S Dental Studio,OX3 7BX,51.7583562,-1.2100528,+44 1865 760000,1,hello@sdentalstudio.com,0,155.0,4168735.0,,,2025-01-23 12:00:34.557251,2025-01-23 12:00:34.657568,84646,EON,0,511.0,,1,18.0
274,Gerrards Cross Dentist,SL9 8QP,51.5889349,-0.5524053,01753376588,1,info@gerrardscrossdentist.co.uk,0,609.0,283260063978.0,,,2025-05-06 10:59:09.422982,2025-05-06 12:34:42.811563,258041,EON,0,603.0,,1,40.5
