id,name,postcode,latitude,longitude,phone_number,active,email,only_impressions,dentist_user_id,hubspot_id,signed_sla,eon_dentist_id,created_at,updated_at,gdc_number,aligner_provider,can_provide_elastics,key_account_manager_id,notes,receiving_cases,weekly_availability_hours,postcode_area
96,Pinhoe Dental Centre,EX4 8EH,50.7334397,-3.4835426,01392 467302,1,joe.dent09@gmail.com,0,49.0,32861029318.0,,,2025-01-23 12:00:34.557251,2025-04-30 09:10:18.682464,258183,EON,0,603.0,,0,43.1,EX
269,Smile Cliniq Finchley,N3 2PA,51.6060829,-0.1869164,0208 343 1133,1,info@smilecliniq.com,0,596.0,272110846143.0,,,2025-04-28 11:07:47.578907,2025-04-28 11:07:47.578942,82492,EON,0,274.0,,1,15.8,N3
279,Deepcar Dental Care,S362RH,53.4812125,-1.5812815,01142882121,1,ibraheem.ijaz@gmail.com,0,617.0,6030751.0,,,2025-05-08 10:14:09.948902,2025-05-08 10:14:09.948932,301711,EON,0,603.0,,1,35.3,S3
195,R&G Dental and Implant Surgery,M20 6UR,53.4234942,-2.2347004,01616693100,1,principaldentist@rgdental.co.uk,0,446.0,196598358208.0,,,2025-02-14 14:28:08.799935,2025-05-07 10:44:52.697135,261928,EON,0,603.0,,1,17.5,M2
167,Gooseberry Dental,IP1 3LU,52.0614485,1.1490979,01473 254513,1,info@gooseberrydental.co.uk,0,339.0,162964316367.0,,,2025-01-23 12:00:34.557251,2025-01-23 12:00:34.657568,,EON,0,460.0,,1,14.3,IP
94,Holyrood Dental Care,EH8     8AU,55.95787,-3.16143,0131 557 0202,1,info@holyrooddentalcare.co.uk,0,51.0,4159296.0,,,2025-01-23 12:00:34.557251,2025-01-23 12:00:34.657568,,EON,0,460.0,,1,25.5,EH
138,Craig Dental,LD1 5DL,52.240876,-3.3777315,07756383677,1,doczeem@gmail.com,0,214.0,33754888403.0,,,2025-01-23 12:00:34.557251,2025-01-23 12:00:34.657568,247548,EON,0,511.0,,1,44.5,LD
276,Russell Street Dental Clinic,SA1 4HR,51.618497,-3.9547961,01792654531,1,dentist@swanseaclinic.net,0,614.0,472755.0,,,2025-05-07 16:59:30.953993,2025-05-07 16:59:30.954025,252891,EON,0,614.0,,1,39.1,SA
273,Welling Corner Dental Practice,DA16 1TY,51.462437,0.1082915,07598208662,1,kiransookarry@gmail.com,0,605.0,277579530449.0,,,2025-04-30 15:44:23.756391,2025-05-06 08:36:05.134973,62085,EON,0,603.0,,1,36.9,DA
157,Gomersal Dental Lounge,BD19 4PY,53.731466,-1.6853843,01274 712099,1,info@gomersaldentallounge.co.uk,0,312.0,151670516926.0,,,2025-01-23 12:00:34.557251,2025-04-24 15:38:02.390377,272618,EON,0,460.0,,0,38.5,BD
143,Blake Dental,CM8 2AB,51.7973281,0.6428023,01376 501688,1,leanne@blakedental.co.uk,0,242.0,116252123322.0,,,2025-01-23 12:00:34.557251,2025-01-23 12:00:34.657568,,EON,0,460.0,,1,23.2,CM
56,Twenty Dental,PO12    2JR,50.7925528,-1.1499883,023 9258 9055,1,twentydental@gmail.com,0,81.0,18757852.0,,,2025-01-23 12:00:34.557251,2025-01-23 12:00:34.657568,176831,EON,0,460.0,,1,16.8,PO
178,Envy Smile Dental,W12 8QQ,51.5030383,-0.2233749,0203 719 6889,1,info@envysmile.co.uk,0,389.0,171867626717.0,,,2025-01-24 17:36:59.501454,2025-01-24 17:36:59.501485,248969,EON,0,460.0,,1,20.0,W1
173,Ocean Dental Implant and Aesthetic Clinic,M14 6SG,53.4330663,-2.2095988,0161 224 7135,1,accounts@didsburydental.co.uk,0,346.0,165639690429.0,,,2025-01-23 12:00:34.557251,2025-05-01 10:26:15.205573,297121,EON,0,511.0,,1,22.6,M1
82,Together Dental Norwich (Earlham Road),NR4 7HN,52.6292657,1.2529307,07903 106706,1,earlhamreception@together.dental,0,347.0,8569119188.0,,,2025-01-23 12:00:34.557251,2025-01-23 12:00:34.657568,,EON,0,460.0,,1,17.4,NR
49,Mountain Ash Dental,CF45 3HB,51.6816402,-3.3782446,7850087414,1,contact@kaadentals.co.uk,0,147.0,17495452381.0,,,2025-01-23 12:00:34.557251,2025-01-23 12:00:34.657568,256167,EON,0,511.0,,1,33.7,CF
174,Moopen Dental Care,NN2 7BL,52.2522393,-0.8825594,01604 722733,1,drsan77@ymail.com,0,353.0,165694910673.0,,,2025-01-23 12:00:34.557251,2025-01-23 12:00:34.657568,,EON,0,460.0,,1,30.3,NN
241,Smile Solutions,B75 5DB,52.5862943,-1.8212832,0121 3088977,1,smilesolutionsB75@yahoo.com,0,502.0,233261482204.0,,,2025-03-20 08:59:59.210792,2025-03-20 08:59:59.210833,50546,EON,0,274.0,,1,26.7,B7
25,Northway Dental Practice - Liverpool,L31 5LJ,53.4056561,-2.9085915,0151 526 2701,1,northwaydental@hotmail.co.uk,0,105.0,18758252.0,,,2025-01-23 12:00:34.557251,2025-05-08 14:22:43.165673,148778,EON,0,460.0,,0,43.3,L3
